1,"LeBron James, SF",Cleveland Cavaliers,"$30,963,450 "
2,"Mike Conley, PG",Memphis Grizzlies,"$26,540,100 "
3,"Al Horford, PF",Boston Celtics,"$26,540,100 "
4,"Dirk Nowitzki, PF",Dallas Mavericks,"$25,000,000 "
5,"Carmelo Anthony, PF",New York Knicks,"$24,559,380 "
6,"Damian Lillard, PG",Portland Trail Blazers,"$24,328,425 "
7,"Chris Bosh, PF",Miami Heat,"$23,741,060 "
8,"Dwyane Wade, SG",Chicago Bulls,"$23,200,000 "
9,"Dwight Howard, C",Atlanta Hawks,"$23,180,275 "
10,"Chris Paul, PG",LA Clippers,"$22,868,827 "
11,"Chandler Parsons, SF",Memphis Grizzlies,"$22,116,750 "
12,"Bradley Beal, SG",Washington Wizards,"$22,116,750 "
13,"Anthony Davis, PF",New Orleans Pelicans,"$22,116,750 "
14,"Derrick Rose, PG",New York Knicks,"$21,323,252 "
15,"Marc Gasol, C",Memphis Grizzlies,"$21,165,675 "
16,"Brook Lopez, C",Brooklyn Nets,"$21,165,675 "
17,"Kevin Love, PF",Cleveland Cavaliers,"$21,165,675 "
18,"Nicolas Batum, SG",Charlotte Hornets,"$20,869,566 "
19,"LaMarcus Aldridge, PF",San Antonio Spurs,"$20,575,005 "
20,"Blake Griffin, PF",LA Clippers,"$20,140,839 "
21,"Paul Millsap, PF",Atlanta Hawks,"$20,072,033 "
22,"Ryan Anderson, PF",Houston Rockets,"$18,735,364 "
23,"Allen Crabbe, SG",Portland Trail Blazers,"$18,500,000 "
24,"Paul George, SF",Indiana Pacers,"$18,314,532 "
25,"Luol Deng, SF",Los Angeles Lakers,"$18,000,000 "
26,"Kawhi Leonard, SF",San Antonio Spurs,"$17,638,063 "
27,"Kyrie Irving, PG",Cleveland Cavaliers,"$17,638,063 "
28,"Jimmy Butler, SG",Chicago Bulls,"$17,552,209 "
29,"Tobias Harris, SF",Detroit Pistons,"$17,200,000 "
30,"Greg Monroe, C",Milwaukee Bucks,"$17,145,838 "
31,"Wesley Matthews, SG",Dallas Mavericks,"$17,145,838 "
